Period,unknown,3G,2G,LTE
2023-10-20,1875.5075398897752,66515.43971844018,284.00161986611784,1159867.8384310845
2023-10-21,1599.8038379391655,67060.98922434449,288.6190269673243,1245134.098864235
2023-10-22,1486.9451793469489,67917.38935544994,287.61910445056856,1293039.0696083289
2023-10-23,1618.2612005705014,62166.29150723107,273.85596862901,1157355.7883730624
2023-10-24,1553.4445659695193,62310.41649610549,268.45230247918516,1169950.2371838875
2023-10-25,1688.35618469771,63208.840123641305,272.01119009498507,1192100.8639944717
2023-10-26,1598.2249281993136,63319.760342431255,269.8562447531149,1197433.9602452982
2023-10-27,1629.3825289187953,63003.931409695186,276.2960248384625,1212832.1781772096
2023-10-28,1875.8127029854804,69340.37356328778,310.7650355948135,1313632.0789989457
2023-10-29,1842.7979502994567,72204.9697181452,329.431130502373,1369689.090088671
2023-10-30,1876.078625335358,66821.33199603204,321.8520942805335,1275529.4630876929
2023-10-31,1892.4784481711686,67116.55583721958,305.62871110998094,1272325.4172497336
2023-11-01,1908.8824878996238,71029.30071030837,331.79018432460725,1377356.0696555953
2023-11-02,1865.438912560232,69153.43779984955,342.06515973899513,1357063.8587647676
2023-11-03,1915.6598296295851,70492.52224314213,333.34314058348536,1414428.8813499734
2023-11-04,1774.3031925177202,68875.08955375757,316.85020598676056,1404708.977553025
2023-11-05,1561.567250944674,69275.2573293522,305.61018096189946,1423050.0435347203
2023-11-06,1594.4248925307766,63297.32639956195,282.6567345643416,1223238.677970767
2023-11-07,1690.0722987968475,65413.21953756176,275.5054330220446,1219002.0550271682
2023-11-08,1635.9780551986769,64467.660122193396,271.70259789470583,1242650.181489084
2023-11-09,1771.3183171600103,63110.17486986425,268.48956616874784,1238126.885609962
2023-11-10,2327.6317602256313,63891.14906092733,281.8926289174706,1254855.069822101
2023-11-11,2347.610485191457,66320.69923721906,286.16592629253864,1321627.026523482
2023-11-12,2005.7814207915217,67824.98390602693,284.8811885807663,1376369.29746327
2023-11-13,2020.0455899843946,61097.36109721754,250.58610969781876,1199699.9683171045
2023-11-14,1978.036005768925,61358.153890633956,267.67401283048093,1196987.8816558141
2023-11-15,2577.889977726154,64873.3913905276,275.65382134448737,1226196.8627163582
2023-11-16,2169.5331253530458,62573.48598760646,273.8610831396654,1215340.6972185057
2023-11-17,1995.0812456943095,57847.20440349355,258.85205844789743,1117137.083826866
2023-11-18,1793.3117349343374,60297.23668736685,272.03370393253863,1191485.3691951558
2023-11-19,1448.3745195772499,59110.05108708702,259.09504790138453,1196181.6410624702
2023-11-20,1778.826936662197,54287.53603473771,233.20026588905603,1047329.0179085452
2023-11-21,1857.346773719415,55339.33075108379,247.2923295609653,1051896.2957969587
2023-11-22,1912.6576251769438,57505.67944063526,270.44630672223866,1094005.3538187966
2023-11-23,1902.7272399701178,57219.37522600964,280.1568119302392,1086373.5691182595
2023-11-24,4187.857775685377,57449.90639358759,271.0755030903965,1140879.6331503522
2023-11-25,2014.526221039705,62734.930116796866,315.4973129723221,1306966.8552892283
2023-11-26,1767.7809254676104,61700.83898238931,291.2241124333814,1291347.1502465103
2023-11-27,2148.1530046463013,55525.867611859925,270.2015122976154,1106775.068080714
2023-11-28,2404.414897341281,57079.63696655817,261.605223974213,1133399.1560733784
2023-11-29,1340.4153429428115,53132.60263196379,228.96290770173073,1178281.091732569
2023-11-30,1159.0474816886708,51887.174723091535,229.6882678726688,1149661.8110916577
2023-12-01,1185.4511490408331,56122.22874159552,250.14309298060834,1244868.01819738
2023-12-02,1006.6857114462182,58890.60740241222,260.0435963720083,1354193.5973076336
2023-12-03,891.3108788905665,61876.58104255237,274.4113267781213,1445323.7339846324
2023-12-04,1201.602629961446,52790.681585364044,220.28230844903737,1213444.56109114
2023-12-05,1250.7493049306795,54620.44445674028,217.5097586074844,1211288.221134143
2023-12-06,3953.230857865885,54881.433750996366,223.27880964055657,1217061.993457526
2023-12-07,1261.198024712503,56094.234951342456,239.51873988099396,1238448.9800049271
2023-12-08,1141.248505008407,59755.35147464834,271.8419448332861,1296240.4263082147
2023-12-09,804.1435270383954,63545.34374218341,296.89801235869527,1416335.323160002
2023-12-10,660.1132500534877,61745.78074876778,268.4452797472477,1409553.7722248957
2023-12-11,887.1072673555464,54754.00509338919,229.72110891900957,1227778.2751243655
2023-12-12,982.6610189843923,55236.76349674538,239.51458728313446,1235553.677638704
2023-12-13,1069.1738352458924,56954.59137505293,256.93096982873976,1275825.0223487243
2023-12-14,949.2302222829312,57291.94934657961,279.5660920832306,1282655.57419586
2023-12-15,882.38748784177,59044.85210693721,287.3582651913166,1319181.6793437954
2023-12-16,736.804526347667,61222.84315326717,282.48805823829025,1394069.538632799
2023-12-17,678.8947435729206,67268.02761987504,338.97960596811026,1494717.0100134425
2023-12-18,826.5075371833518,62515.97203404643,323.3129681944847,1390404.047860643
2023-12-19,808.8110264651477,63827.383384503424,348.3481303714216,1392867.3652811814
2023-12-20,754.7199602909386,60302.845388489775,303.2109583420679,1330185.6909424998
2023-12-21,725.6376051129773,60365.04755587131,302.4161032475531,1348224.1406190116
2023-12-22,717.0145855126902,60541.849164101295,299.1145672323182,1338974.188448619
2023-12-23,553.3922969792038,61564.430290825665,294.9989853464067,1354456.0337816365
2023-12-24,459.13845542725176,61297.281662804075,309.0516084646806,1354549.5716186706
2023-12-25,646.0029437737539,57580.427104015835,281.66694440320134,1279403.247372955
2023-12-26,1975.5596039760858,57245.546977221966,280.2347616320476,1265176.4508832525
2023-12-27,1028.562805368565,57471.684894454665,277.38911464624107,1267724.738302771
2023-12-28,790.6347413314506,57508.741119286045,285.4603571090847,1263073.8749021944
2023-12-29,688.2823073780164,57001.27218711376,290.8107619974762,1254841.536624264
2023-12-30,620.244975884445,58382.337774609216,303.730326523073,1278749.4034231454
2023-12-31,516.2723390916362,58062.98933710437,332.4671775624156,1262576.3114518393
2024-01-01,525.3929971363395,64933.271118799224,343.49929711129516,1459730.095875496
2024-01-02,755.6491374894977,56815.53964267392,270.093239268288,1274214.0621323325
2024-01-03,716.1523116696626,57552.64781354368,264.1570506757125,1241570.2544854674
2024-01-04,701.2262976523489,56042.54471708462,268.8887418657541,1218079.930968769
2024-01-05,670.0579878063872,57060.376195599325,269.2745565623045,1259874.8966689222
2024-01-06,601.8016437850893,63554.98157287482,333.81363922171295,1412676.4796895813
2024-01-07,4132.42335469462,63474.168508045375,328.9937076251954,1434310.9505194984
